start,end,fmin,fmax,category
0.078768,0.093089,827.586182,2191.222656,s
0.103432,0.114571,418.831177,652.597412,s
0.160718,0.175039,175.324677,1801.94812,s
0.180608,0.216412,300.94043,724.137939,s
0.243463,0.264945,292.207794,730.51947,s
0.27688,0.290406,399.350647,711.03894,s
0.300749,0.319048,292.207794,672.077942,s
0.330187,0.345304,116.883118,1207.792236,s
0.345304,0.368377,206.896545,1297.805664,s
0.368377,0.388268,244.514114,1260.18811,s
0.388268,0.414524,159.874603,1119.122314,s
0.442371,0.45908,244.514114,771.159851,s
0.45908,0.486927,141.065826,1025.078369,s
0.504431,0.519548,155.844162,896.103882,s
0.519548,0.536256,188.087784,940.438904,s
0.578424,0.607863,233.766235,886.363586,s
0.611841,0.633323,282.131653,968.6521,s
0.633323,0.652418,197.492172,1025.078369,s
0.666739,0.688221,159.874603,1739.81189,s
0.704134,0.723229,376.175568,667.711609,s
0.726412,0.745507,263.322876,780.564209,s
0.757441,0.776537,370.129883,662.337646,s
0.800406,0.823479,185.064941,808.441589,s
0.823479,0.836209,253.918488,639.498413,s
0.853713,0.874399,107.14286,1061.688354,s
0.887925,0.903042,432.601868,968.6521,s
0.911794,0.93248,262.98703,808.441589,s
0.980218,1.0017,262.98703,750.0,s
1.023978,1.039095,438.311676,613.636353,s
1.084446,1.100359,370.129883,701.298706,s
1.100359,1.12025,404.388702,724.137939,s
1.164805,1.175944,423.19751,648.902832,s
1.179126,1.191061,479.62381,1184.953003,s
1.197426,1.217317,310.344849,592.476501,s
1.220499,1.238799,438.311676,711.03894,s
1.246755,1.260281,175.324677,652.597412,s
1.374056,1.389969,301.948059,652.597412,s
1.389969,1.405086,141.065826,761.755493,s
1.43532,1.447254,389.610382,672.077942,s
1.59365,1.610359,467.532471,2123.376709,s
1.616724,1.635023,292.207794,740.259766,s
1.664064,1.675998,319.749207,630.094055,s
1.795741,1.818019,159.874603,968.6521,s
