start,end,fmin,fmax,category
0.036476,0.053921,137.323944,538.732422,s
0.060265,0.083261,200.704224,602.112671,s
0.195069,0.214893,232.394363,538.732422,s
0.26485,0.283881,116.197182,1077.464844,s
0.37745,0.391724,137.323944,908.450684,s
0.409962,0.425028,147.887329,802.816895,s
0.4282,0.471813,126.760559,876.760559,s
0.487672,0.503531,179.577469,570.422546,s
0.503531,0.52732,105.633804,1140.845093,s
0.543972,0.563004,169.014084,612.676025,s
0.957899,0.979309,179.577469,1109.154907,s
1.007856,1.040367,147.887329,602.112671,s
1.20451,1.221163,158.450699,580.985901,s
1.377376,1.40513,285.211273,612.676025,s
1.437641,1.457465,211.267609,443.661957,s
1.595441,1.612886,105.633804,485.915497,s
1.669979,1.684253,242.957748,1066.901367,s
1.922142,1.947516,147.887329,602.112671,s
1.947516,1.979235,105.633804,580.985901,s
